,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Reference,Tag
73,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0,0.095,0.018,,doi/10.1021/ja00455a017,74
74,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0,3.28,0.6,,doi/10.1021/ja00455a017,75
75,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0,0.5,0.08,,doi/10.1021/ja00455a017,76
76,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0,0.655,0.08,,doi/10.1021/ja00455a017,77
77,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0,3.62,0.69,,doi/10.1021/ja00455a017,78
78,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0,0.565,0.08,,doi/10.1021/ja00455a017,79
79,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,,doi/10.1021/ja00455a017,80
80,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,3.715,0.76,,doi/10.1021/ja00455a017,81
81,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0,0.66,0.1,,doi/10.1021/ja00455a017,82
82,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0,1.015,0.14,,doi/10.1021/ja00455a017,83
83,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342.5,396.5,1.6,,,"doi/10.1021/bi00581a025, https://doi.org/10.1016/j.jphotochem.2012.04.011",84
84,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355.0,421.0,3.3,,,doi/10.1021/bi00581a025,85
85,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343.0,406.0,,,,doi/10.1021/bi00581a025,86
86,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,304.0,427.5,,,,"doi/10.1021/bi00581a025, https://doi.org/10.1016/j.jphotochem.2012.04.011",87
87,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350.0,452.0,,,,doi/10.1021/bi00581a025,88
88,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375.0,515.0,,,,doi/10.1021/bi00581a025,89
89,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370.0,510.0,3.8,,,doi/10.1021/bi00581a025,90
90,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364.0,531.0,2.1,,,doi/10.1021/bi00581a025,91
91,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,,477.0,21.6,,,https://doi.org/10.1063/1.1675715,92
92,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,,479.0,21.0,,,https://doi.org/10.1063/1.1675715,93
93,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,,485.0,18.0,,,https://doi.org/10.1063/1.1675715,94
94,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,,490.0,13.6,,,https://doi.org/10.1063/1.1675715,95
95,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,,495.0,11.8,,,https://doi.org/10.1063/1.1675715,96
96,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,,501.0,9.0,,,https://doi.org/10.1063/1.1675715,97
97,c1ccc2ccccc2c1,C1CCCCC1,288.73010784999997,329.72895,132.0,0.325,3.58,"https://doi.org/10.3390/molecules17055108, https://doi.org/10.1016/S1386-1425(02)00207-X",98
98,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,64.0,0.3,3.73,https://doi.org/10.3390/molecules17055108,99
99,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,61.0,,3.75,https://doi.org/10.3390/molecules17055108,100
100,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,63.0,,3.74,https://doi.org/10.3390/molecules17055108,101
101,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0,56.0,,3.78,https://doi.org/10.3390/molecules17055108,102
102,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,62.0,,3.76,https://doi.org/10.3390/molecules17055108,103
103,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,23.0,0.33,3.87,https://doi.org/10.3390/molecules17055108,104
104,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,333.0,30.0,,3.86,https://doi.org/10.3390/molecules17055108,105
105,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0,12.0,,3.91,https://doi.org/10.3390/molecules17055108,106
106,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,10.0,0.65,3.71,https://doi.org/10.3390/molecules17055108,107
107,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,11.0,0.66,3.88,https://doi.org/10.3390/molecules17055108,108
108,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,333.0,8.0,,3.82,https://doi.org/10.3390/molecules17055108,109
109,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0,9.0,,4.13,https://doi.org/10.3390/molecules17055108,110
110,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,https://doi.org/10.3390/molecules17055108,111
111,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0,1.26,0.4,,https://doi.org/10.1016/S0040-4039(00)01039-X,112
112,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,2.74,0.35,,https://doi.org/10.1016/S0040-4039(00)01039-X,113
113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398.0,443.0,1.06,0.32,,https://doi.org/10.1016/S0040-4039(00)01039-X,114
114,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,20.6,0.55,,https://doi.org/10.1002/chem.201404745,115
115,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,4.9,0.12,,https://doi.org/10.1002/chem.201404745,116
116,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,2.4,0.72,4.77815125,https://doi.org/10.1016/j.dyepig.2018.02.016,117
117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3451327,571.8681319,,,,https://doi.org/10.1016/j.dyepig.2018.02.016,118
118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763427994,https://doi.org/10.1016/j.dyepig.2018.02.016,119
119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.6696165,599.7802198,,,,https://doi.org/10.1016/j.dyepig.2018.02.016,120
120,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,2.4,0.62,4.763427994,https://doi.org/10.1016/j.dyepig.2018.02.016,121
121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,2.5,0.67,4.755874856,https://doi.org/10.1016/j.dyepig.2018.02.016,122
122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.3687316,663.0769231,,,,https://doi.org/10.1016/j.dyepig.2018.02.016,123
123,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,3.289,0.55,4.439332694,https://doi.org/10.1016/j.dyepig.2018.02.012,124
124,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0,2.017,0.7,4.760874638,https://doi.org/10.1016/j.dyepig.2018.02.012,125
125,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0,3.019,0.76,4.607883744,https://doi.org/10.1016/j.dyepig.2018.02.012,126
126,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343.0,463.0,1.228,0.82,4.897077003,https://doi.org/10.1016/j.dyepig.2018.02.012,127
127,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189770956,https://doi.org/10.1016/j.dyepig.2018.02.012,128
128,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551498792,https://doi.org/10.1016/j.dyepig.2018.02.012,129
129,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,3.87,0.57,,https://doi.org/10.1016/j.dyepig.2018.04.054,130
130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0,3.36,0.45,,https://doi.org/10.1016/j.dyepig.2018.04.054,131
131,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,683.0,0.3544,0.02,4.591621038,http://dx.doi.org/10.1016/j.dyepig.2015.03.004,132
132,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,672.0,0.3397,0.15,4.819346484,http://dx.doi.org/10.1016/j.dyepig.2015.03.004,133
133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,680.0,0.4618,0.09,5.049992857,http://dx.doi.org/10.1016/j.dyepig.2015.03.004,134
134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,682.0,0.4731,0.03,4.819346484,http://dx.doi.org/10.1016/j.dyepig.2015.03.004,135
135,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,7.5,0.38,4.37,https://doi.org/10.1016/j.dyepig.2018.04.037,136
